,level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA,hep avg,hep std,SAA avg,SAA std
117,3-4_0_C4_1,1,1538.534165667159,22331.89136231061,2873.0,10.63288607625045,,636.1381069661967,5105.225046931218,0.9631243714381496,2.418553689551118,,0.0,3_4,,,,,,
118,3-4_0_C4_1,2,2791.545513049111,29941.59748800606,1453.0,2.618034634364631,,447.1618291686544,3000.885203400821,0.4870935300033523,6.242808153457647,,0.0,3_4,,,,,,
119,3-4_0_C4_1,3,2820.220337903321,30092.650816540554,2983.0,11.07690632500214,,567.9752673915181,12130.16014403143,1.0,4.9653928609523055,,0.0,3_4,,,,,,
120,3-5_0_C5_1,0,1522.43315849332,22216.63293759853,1176.0,1.750928426584281,,461.5887938055822,953.6085592630307,0.2793349168646081,3.298245492360366,,0.0,3_5,0.21546787946969906,0.1040379671084729,0.20244200340580923,0.01842137059134397,0.09099637269951844,0.018443599688112614
121,3-5_0_C5_1,1,1538.557695438701,22332.05935226151,4210.0,16.99553654752301,,650.7974857647396,9165.96686543069,1.0,2.364111308191014,,0.0,3_5,,,,,,
122,3-5_0_C5_1,2,2791.675354929946,29942.283237615244,1511.0,3.920213944336489,,623.4722974240544,3332.641967831001,0.35890736342042756,4.47762533550258,,0.0,3_5,,,,,,
123,3-5_0_C5_1,3,2820.100775265025,30092.022604650752,3486.0,17.56898834684973,,555.2749081527894,15467.00128127295,0.8280285035629453,5.078747002356977,,0.0,3_5,,,,,,
124,3-5_0_C6_1,0,1522.246460565667,22215.292866151787,1062.0,1.643397904675443,,565.2896155899608,628.3040005630763,0.27342945417095776,2.69286117873753,,0.0,3_5,0.1894161273419194,0.07795477829056398,0.20244200340580923,0.01842137059134397,0.09099637269951844,0.018443599688112614
125,3-5_0_C6_1,1,1538.573717405174,22332.17373976764,3884.0,17.94920694006155,,663.8464499489374,8059.852318752977,1.0,2.3176650526993403,,0.0,3_5,,,,,,
126,3-5_0_C6_1,2,2792.45779751898,29946.41530394984,1419.0,3.835473593719403,,545.831937386993,2992.588698424536,0.3653450051493306,5.115966300702439,,0.0,3_5,,,,,,
127,3-5_0_C6_1,3,2820.278050110121,30092.954046022292,3571.0,19.27851139275454,,544.6801713362481,15799.01743541903,0.9194129763130793,5.17786069426984,,0.0,3_5,,,,,,
128,3-6_0_C7_1,0,1522.63337003826,22218.069914211974,1047.0,1.360426349559744,,572.7407307390182,597.3416695109038,0.26038298930614273,2.6585037318257028,,0.0,3_6,0.36181129310121557,0.08217633129836618,0.35514001234642834,0.009434615721818616,0.08655298251628465,0.006189519510156759
129,3-6_0_C7_1,1,1538.626894353256,22332.553387883403,3453.0,13.90980404329278,,679.9266168719864,7269.02333157309,0.858741606565531,2.262930816610378,,0.0,3_6,,,,,,
130,3-6_0_C7_1,2,2792.019224018741,29944.09927686757,1829.0,6.169211032709534,,520.1644104888319,6910.978943837864,0.45486197463317585,5.3675706521230495,,0.0,3_6,,,,,,
131,3-6_0_C7_1,3,2820.232193415116,30092.713107617485,4021.0,20.18903072195372,,577.9518500238469,19101.05924168746,1.0,4.879700953113569,,0.0,3_6,,,,,,
132,3-6_0_C8_1,0,1522.412527032691,22216.484854167713,1206.0,1.621373904128522,,458.9297573313506,954.6788153215701,0.2370748967957539,3.317310552894696,,0.0,3_6,0.34846873159164116,0.09092963373420311,0.35514001234642834,0.009434615721818616,0.08655298251628465,0.006189519510156759
133,3-6_0_C8_1,1,1538.616772326557,22332.481123841477,4824.0,18.86982146074881,,672.2982265981428,10499.09447685885,0.9482995871830155,2.288592638585442,,0.0,3_6,,,,,,
134,3-6_0_C8_1,2,2792.081536220241,29944.428347536945,2358.0,8.61273805541794,,574.4622367460945,8515.413305913697,0.4635344997051307,4.860339562153514,,0.0,3_6,,,,,,
135,3-6_0_C8_1,3,2820.164642456828,30092.358180468364,5087.0,25.60202441283606,,575.3306413186962,24436.66399283315,1.0,4.901815477779564,,0.0,3_6,,,,,,
136,3-7_0_C10_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_7,0.2352262262055345,0.0,0.24277429673091844,0.010674583706745943,0.0,0.0
137,3-7_0_C10_1,1,1538.177129778344,22329.342158267136,5144.0,10.28777171564603,,608.0932157044199,11504.91682171882,0.9376594969012031,2.529508782623907,,0.0,3_7,,,,,,
138,3-7_0_C10_1,2,2792.484943530928,29946.558651053907,2124.0,3.766060593968867,,527.7389525242754,6431.592902124507,0.38716733503463363,5.291413359150283,,0.0,3_7,,,,,,
139,3-7_0_C10_1,3,2820.438740237462,30093.798321961927,5486.0,17.20965873254926,,547.4832122751976,27342.15910306171,1.0,5.151644245887382,,0.0,3_7,,,,,,
140,3-7_0_C9_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_7,0.25032236725630236,0.0,0.24277429673091844,0.010674583706745943,0.0,0.0
141,3-7_0_C9_1,1,1538.657557883744,22332.772302127007,4228.0,9.842718534004174,,631.6018038889583,8478.307401309174,1.0,2.436119638053242,,0.0,3_7,,,,,,
142,3-7_0_C9_1,2,2792.43622067518,29946.30136486525,1768.0,3.655592394458839,,546.4916692582373,4704.629191825866,0.4181646168401135,5.109750756979338,,0.0,3_7,,,,,,
143,3-7_0_C9_1,3,2820.3516402874,30093.340696424813,4119.0,15.85762646942366,,541.177451452794,18794.28212265525,0.9742194891201513,5.211509889623357,,0.0,3_7,,,,,,
144,4-10_0_C11_1,0,1522.606408906129,22217.876411869016,1219.0,1.630464514879842,,599.60746405706,770.4849585960362,0.29673807205452774,2.53933865099657,,0.0,4_10,0.08441185841087152,0.0929053524274467,0.08982136414500277,0.007650196374943446,0.09695881205742807,0.0057324575832515805
145,4-10_0_C11_1,1,1538.551828249734,22332.01746380003,4108.0,15.33327056680253,,673.260589306381,8293.224647070114,1.0,2.285224848575808,,0.0,4_10,,,,,,
146,4-10_0_C11_1,2,2791.619102165786,29941.98614508193,1126.0,1.86099819121756,,531.4153268844059,1452.532635027423,0.27409931840311585,5.253177620097175,,0.0,4_10,,,,,,
147,4-10_0_C11_1,3,2820.123932951751,30092.144281960682,3906.0,23.48223012993257,,601.2892673746608,17207.68458807382,0.950827653359299,4.690128505477787,,0.0,4_10,,,,,,
148,4-10_0_C12_1,0,1522.470106816799,22216.898133666964,1348.0,1.67521748257277,,535.4317368878986,1112.676305564995,0.27403943891034765,2.843443901300817,,0.0,4_10,0.09523086987913403,0.10101227168740944,0.08982136414500277,0.007650196374943446,0.09695881205742807,0.0057324575832515805
149,4-10_0_C12_1,1,1538.480881758399,22331.5109389789,4910.0,15.9173222384498,,666.1871198411999,11015.25871042937,0.9981703598292336,2.3093825082135018,,0.0,4_10,,,,,,
150,4-10_0_C12_1,2,2791.86533924537,29943.286595594604,1259.0,2.09587833022902,,345.3932755799042,2308.165042349678,0.25594633055499083,8.083149084352954,,0.0,4_10,,,,,,
151,4-10_0_C12_1,3,2820.105500393403,30092.047431908737,4919.0,26.04910120496236,,560.7666259371115,24237.57175881283,1.0,5.029018079812885,,0.0,4_10,,,,,,
152,4-11_0_E5_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4_11,0.14798568114824356,0.0,0.14024411325530806,0.01094823030822118,0.0,0.0
