,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
STD_0_E5_1,1,839.1102601415214,31095.50596736096,5919.663268648023,10.19622587964226,2632.373068282035,3479.598480940196,2309.732746614229,0.019685871299406885,0.2411514617959,55702.75048067739,0.0
STD_0_E5_1,2,855.0764071755378,31387.827324140846,13700.72348889605,24.75252323842046,11395.45586190381,3449.950661964405,5820.26493906218,0.045561827940386726,0.2478517784624365,275557.8639659267,0.0
STD_0_E5_1,3,861.0875268476558,31497.173203898197,21452.360856852,39.4294229947385,28187.67633530897,3585.62281492135,9033.690685714368,0.0713399387314935,0.24015005796602273,370651.078015445,0.0
STD_0_E5_1,4,877.0574850837922,31785.829369074672,6638.468820316885,11.54682199811784,349.3589226533123,3459.533049722993,2782.629086799848,0.02207626293779549,0.25351903637805073,670533.1857228039,0.0
STD_0_E5_1,5,985.528087876283,33680.34713667326,5435.562021090018,9.263431667851965,3858.370533775666,4074.060416849632,2290.1179944508444,0.018075990057380472,0.2419031597568617,29930.54053036782,0.0
STD_0_E5_1,6,1002.5413358379151,33967.81033994824,5109.666960632083,8.52952261168698,2041.109741973025,3948.258052030255,2232.455246834412,0.0169922243217067,0.25391991167405914,47957.77210248445,0.0
STD_0_E5_1,7,1031.4502562003895,34450.70981971321,5700.865534919461,9.4154654761742,394.3510886099724,1679.000195458852,6159.090089606124,0.018958258286417704,0.6143240834575994,600459.6045878782,0.0
STD_0_E5_1,8,1046.549394276477,34700.22876094396,281568.5104261312,534.2846528922448,8701.416782642082,2165.817712802975,265779.9071003825,0.9363575606692335,0.4832121318843798,623218037.99776,0.0
STD_0_E5_1,9,1047.5383102175388,34716.50773325349,136409.8869232967,258.9079702274266,2117.893302395738,7078.795556069928,40977.998077169745,0.4536317956058275,0.1479825631239336,209239559.2216434,0.0
STD_0_E5_1,10,1055.5230713646413,34847.666806980764,5337.200430420467,8.81710235258983,138.6298086290773,1695.97354687324,6041.510609149723,0.017748888070856846,0.6223700088427929,1547232.974244305,0.0
STD_0_E5_1,11,1066.0888827255292,35020.45966647794,9957.15942671336,17.74657466804242,841.8898779034862,3647.743014835698,5391.7524033947075,0.03311258598442589,0.29225986545369287,1610722.94527919,0.0
