,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA
3-3_0_C1_1,0,1522.388961,22216.31571,1223,1.45801309,,525.9944213,737.2817206,0.283429896,2.894306289,,0,3_3,0.417822084,0.081693656
3-3_0_C1_1,1,1538.432901,22331.16837,4315,15.45442181,,642.660329,9024.9568,1,2.393850735,,0,3_3,0.417822084,0.081693656
3-3_0_C1_1,2,2791.870539,29943.31406,2067,5.678910364,,544.9274066,6999.543326,0.479026651,5.123380665,,0,3_3,0.417822084,0.081693656
3-3_0_C1_1,3,2820.028564,30091.64318,3756,14.43712661,,554.8597826,16752.44939,0.870451912,5.082416589,,0,3_3,0.417822084,0.081693656
3-3_0_C2_1,0,1522.198924,22214.95165,1204,1.547075575,,582.2275123,837.665143,0.293015332,2.614440046,,0,3_3,0.444190463,0.099619424
3-3_0_C2_1,1,1538.481221,22331.51336,4109,15.33037231,,658.4722237,8408.65272,1,2.336440575,,0,3_3,0.444190463,0.099619424
3-3_0_C2_1,2,2792.173489,29944.91394,2211,6.525313734,,571.4883536,7194.683701,0.538087126,4.885792461,,0,3_3,0.444190463,0.099619424
3-3_0_C2_1,3,2820.053748,30091.77551,3781,14.75892489,,560.8760446,16197.29439,0.920175225,5.027944722,,0,3_3,0.444190463,0.099619424
3-4_0_C3_1,0,1526,0,0,0,0,0,0,0,0,0,0,3_4,0.243929278,0
3-4_0_C3_1,1,1538.529938,22331.86118,2271,9.313952798,,678.1468695,3905.816639,0.924674267,2.268726741,,0,3_4,0.243929278,0
3-4_0_C3_1,2,2791.511083,29941.41564,1219,2.100744832,,323.6299487,2279.671998,0.496335505,8.625626563,,0,3_4,0.243929278,0
3-4_0_C3_1,3,2819.86466,30090.78196,2456,9.894628397,,554.6037659,9345.626785,1,5.084467206,,0,3_4,0.243929278,0
3-4_0_C4_1,0,1526,0,0,0,0,0,0,0,0,0,0,3_4,0.247390403,0
3-4_0_C4_1,1,1538.534166,22331.89136,2873,10.63288608,,636.138107,5105.225047,0.963124371,2.41855369,,0,3_4,0.247390403,0
3-4_0_C4_1,2,2791.545513,29941.59749,1453,2.618034634,,447.1618292,3000.885203,0.48709353,6.242808153,,0,3_4,0.247390403,0
3-4_0_C4_1,3,2820.220338,30092.65082,2983,11.07690633,,567.9752674,12130.16014,1,4.965392861,,0,3_4,0.247390403,0
3-5_0_C5_1,0,1522.433158,22216.63294,1176,1.750928427,,461.5887938,953.6085593,0.279334917,3.298245492,,0,3_5,0.215467879,0.104037967
3-5_0_C5_1,1,1538.557695,22332.05935,4210,16.99553655,,650.7974858,9165.966865,1,2.364111308,,0,3_5,0.215467879,0.104037967
3-5_0_C5_1,2,2791.675355,29942.28324,1511,3.920213944,,623.4722974,3332.641968,0.358907363,4.477625336,,0,3_5,0.215467879,0.104037967
3-5_0_C5_1,3,2820.100775,30092.0226,3486,17.56898835,,555.2749082,15467.00128,0.828028504,5.078747002,,0,3_5,0.215467879,0.104037967
3-5_0_C6_1,0,1522.246461,22215.29287,1062,1.643397905,,565.2896156,628.3040006,0.273429454,2.692861179,,0,3_5,0.189416127,0.077954778
3-5_0_C6_1,1,1538.573717,22332.17374,3884,17.94920694,,663.8464499,8059.852319,1,2.317665053,,0,3_5,0.189416127,0.077954778
3-5_0_C6_1,2,2792.457798,29946.4153,1419,3.835473594,,545.8319374,2992.588698,0.365345005,5.115966301,,0,3_5,0.189416127,0.077954778
3-5_0_C6_1,3,2820.27805,30092.95405,3571,19.27851139,,544.6801713,15799.01744,0.919412976,5.177860694,,0,3_5,0.189416127,0.077954778
3-6_0_C7_1,0,1522.63337,22218.06991,1047,1.36042635,,572.7407307,597.3416695,0.260382989,2.658503732,,0,3_6,0.361811293,0.082176331
3-6_0_C7_1,1,1538.626894,22332.55339,3453,13.90980404,,679.9266169,7269.023332,0.858741607,2.262930817,,0,3_6,0.361811293,0.082176331
3-6_0_C7_1,2,2792.019224,29944.09928,1829,6.169211033,,520.1644105,6910.978944,0.454861975,5.367570652,,0,3_6,0.361811293,0.082176331
3-6_0_C7_1,3,2820.232193,30092.71311,4021,20.18903072,,577.95185,19101.05924,1,4.879700953,,0,3_6,0.361811293,0.082176331
3-6_0_C8_1,0,1522.412527,22216.48485,1206,1.621373904,,458.9297573,954.6788153,0.237074897,3.317310553,,0,3_6,0.348468732,0.090929634
3-6_0_C8_1,1,1538.616772,22332.48112,4824,18.86982146,,672.2982266,10499.09448,0.948299587,2.288592639,,0,3_6,0.348468732,0.090929634
3-6_0_C8_1,2,2792.081536,29944.42835,2358,8.612738055,,574.4622367,8515.413306,0.4635345,4.860339562,,0,3_6,0.348468732,0.090929634
3-6_0_C8_1,3,2820.164642,30092.35818,5087,25.60202441,,575.3306413,24436.66399,1,4.901815478,,0,3_6,0.348468732,0.090929634
3-7_0_C10_1,0,1526,0,0,0,0,0,0,0,0,0,0,3_7,0.235226226,0
3-7_0_C10_1,1,1538.17713,22329.34216,5144,10.28777172,,608.0932157,11504.91682,0.937659497,2.529508783,,0,3_7,0.235226226,0
3-7_0_C10_1,2,2792.484944,29946.55865,2124,3.766060594,,527.7389525,6431.592902,0.387167335,5.291413359,,0,3_7,0.235226226,0
