level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,Tail,id,name,hep/hhep,SAA/IS_SAA,tag,hep avg,hep std,hep CV,SAA avg,SAA std,SAA CV
40_1_0_C1_1,3,2821.02888700729,30096.898780649557,18672.0,34.24073708773694,,504.4030306270855,104147.429037354,1.0,5.5928071714797625,,0.0,1,C01,,,,,,,,,,
40_1_0_C2_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2,C02,40_1,0.09415225756093755,0.0,,,,,,,
40_1_0_C2_1,1,1538.60434231931,22332.392382138183,22443.0,20.68231736548266,,573.1414640615,64580.27404050664,1.0,2.6845106117714295,,0.0,2,C02,,,,,,,,,,
40_1_0_C2_1,2,2792.544713013515,29946.874267015046,3844.0,2.942254168731883,,512.4991640324865,11632.67348754761,0.17127834959675622,5.4488766206777655,,0.0,2,C02,,,,,,,,,,
40_1_0_C2_1,3,2821.12056454588,30097.380398141195,21427.0,33.65793381462174,,501.4776676915551,123551.7213171301,0.954729759836029,5.62561554840977,,0.0,2,C02,,,,,,,,,,
40_3_0_C3_1,0,1529.529279058388,22267.5057409742,4442.0,1.357995710544802,,698.0782023568146,10542.64260850186,0.18947278621395666,2.1910572109177346,,0.0,3,C03,40_3,0.4442143209053226,0.1745064269526217,40_3,0.4440825172332855,0.00014090405237082883,0.03172925006115678,0.1315082086124291,0.045967028934485815,34.953733625827354
40_3_0_C3_1,1,1538.759576307002,22333.50062007465,19902.0,12.3758984578671,,531.7231276345168,60414.06492933453,0.8489165671387136,2.8939113165013164,,0.0,3,C03,,,,,,,,,,
40_3_0_C3_1,2,2793.215419375001,29950.41573317655,11684.0,18.93210257157413,,480.3975365152163,61645.43662381844,0.49837911619177616,5.814383311864731,,0.0,3,C03,,,,,,,,,,
40_3_0_C3_1,3,2821.372779132633,30098.705337765743,23444.0,45.48930054364107,,490.0454765778713,138774.0865674549,1.0,5.757369293223746,,0.0,3,C03,,,,,,,,,,
40_3_0_C4_1,0,1529.588895619108,22267.932632558637,4314.0,1.211546624027456,,651.0020839193733,5782.116249103816,0.1510609986693746,2.349591396712868,,0.0,4,C04,40_3,0.44395071356124843,0.08850999027223648,,,,,,,
40_3_0_C4_1,1,1538.793872668803,22333.74545915553,21988.0,14.10310293532262,,539.5505143478905,65327.272450481,0.7699418726801597,2.8519922263972157,,0.0,4,C04,,,,,,,,,,
40_3_0_C4_1,2,2793.339281379338,29951.069702625537,14427.0,21.07016063674971,,482.1709517943105,77665.44418862641,0.5051824357448,5.793255008383312,,0.0,4,C04,,,,,,,,,,
40_3_0_C4_1,3,2821.406908537497,30098.884622549216,28558.0,48.47714928563875,,486.7416161762698,174941.5910735134,1.0,5.796518758148976,,0.0,4,C04,,,,,,,,,,
40_2_0_C5_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5,C05,40_2,0.3123003324592394,0.0,40_2,0.3115579475857365,0.0007936428130713273,0.2547336119079189,0.0,0.0,
40_2_0_C5_1,1,1538.743484580423,22333.38574153005,21701.0,14.97292462172311,,534.3880807988755,64433.78011819733,0.7533761499739628,2.8794494859992037,,0.0,5,C05,,,,,,,,,,
40_2_0_C5_1,2,2793.282401380246,29950.769388128087,10103.0,10.54365767584048,,482.1296256362346,55197.24295971888,0.3507377191459816,5.793633605680497,,0.0,5,C05,,,,,,,,,,
40_2_0_C5_1,3,2821.464026828674,30099.184667526864,28805.0,36.29929222537785,,492.2245209169064,176744.1056660517,1.0,5.732067190746419,,0.0,5,C05,,,,,,,,,,
40_2_0_C6_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6,C06,40_2,0.3108155627122336,0.0,,,,,,,
40_2_0_C6_1,1,1538.826821026664,22333.980672344336,19900.0,16.25594918884332,,541.041801384228,58235.84055553318,0.7567115369990113,2.8441921069493215,,0.0,6,C06,,,,,,,,,,
40_2_0_C6_1,2,2793.351626228758,29951.134880438865,9294.0,10.57181577354183,,501.1380700553009,50846.4341717521,0.35341090577230205,5.574016011037656,,0.0,6,C06,,,,,,,,,,
40_2_0_C6_1,3,2821.464891605197,30099.189210213546,26298.0,35.84516377854283,,489.3511237129738,163590.3740728321,1.0,5.765726806137083,,0.0,6,C06,,,,,,,,,,
10_21_0_C7_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,7,C07,10_21,0.5142127366632846,0.0,10_21,0.5136905064688997,0.0005582875611934929,0.10868169727938962,0.0,0.0,
10_21_0_C7_1,1,1538.775841250032,22333.61673459171,26588.0,16.29915443876464,,534.302300214402,80786.65625707702,0.7837057124329423,2.87997233145461,,0.0,7,C07,,,,,,,,,,
10_21_0_C7_1,2,2793.117933584964,29949.901015130352,20775.0,9.784998547693288,,477.4661812238794,105652.6356096838,0.6123622000825326,5.849875956503183,,0.0,7,C07,,,,,,,,,,
10_21_0_C7_1,3,2821.321498044898,30098.435951607527,33926.0,17.77484348548141,,480.5869842361944,205464.8360039883,1.0,5.870574090825359,,0.0,7,C07,,,,,,,,,,
10_21_0_C8_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8,C08,10_21,0.5131682762745147,0.0,,,,,,,
10_21_0_C8_1,1,1538.689868387654,22333.00297212159,19668.0,17.49260210266288,,564.1621040995373,57242.75603130467,0.7269904635174096,2.7273896229587535,,0.0,8,C08,,,,,,,,,,
10_21_0_C8_1,2,2792.987677313552,29949.213257057418,16143.0,10.39367306577159,,490.9578757820295,83362.43842541403,0.5966954978931027,5.688854003746656,,0.0,8,C08,,,,,,,,,,
10_21_0_C8_1,3,2821.082646406576,30097.181200483727,27054.0,19.1906964226852,,489.7868045907176,162446.5936020177,1.0,5.759817577698867,,0.0,8,C08,,,,,,,,,,
